# Pixel positions of the trace in the spatial direction, Width of the trace
5.420126657357467366e+02,3.456978168189714928e+00
5.420083302444242008e+02,3.456978168189714928e+00
5.420039956586814469e+02,3.456978168189714928e+00
5.419996619818612089e+02,3.456978168189714928e+00
5.419953292173064483e+02,3.456978168189714928e+00
5.419909973683602402e+02,3.456978168189714928e+00
5.419866664383653188e+02,3.456978168189714928e+00
5.419823364306648728e+02,3.456978168189714928e+00
5.419780073486016363e+02,3.456978168189714928e+00
5.419736791955185709e+02,3.456978168189714928e+00
5.419693519747587516e+02,3.456978168189714928e+00
5.419650256896650262e+02,3.456978168189714928e+00
5.419607003435803563e+02,3.456978168189714928e+00
5.419563759398475895e+02,3.456978168189714928e+00
5.419520524818098011e+02,3.456978168189714928e+00
5.419477299728098387e+02,3.456978168189714928e+00
5.419434084161907776e+02,3.456978168189714928e+00
5.419390878152953519e+02,3.456978168189714928e+00
5.419347681734667503e+02,3.456978168189714928e+00
5.419304494940477070e+02,3.456978168189714928e+00
5.419261317803811835e+02,3.456978168189714928e+00
5.419218150358102548e+02,3.456978168189714928e+00
5.419174992636777688e+02,3.456978168189714928e+00
5.419131844673265732e+02,3.456978168189714928e+00
5.419088706500998569e+02,3.456978168189714928e+00
5.419045578153403540e+02,3.456978168189714928e+00
5.419002459663910258e+02,3.456978168189714928e+00
5.418959351065949477e+02,3.456978168189714928e+00
5.418916252392948536e+02,3.456978168189714928e+00
5.418873163678339324e+02,3.456978168189714928e+00
5.418830084955549182e+02,3.456978168189714928e+00
5.418787016258007725e+02,3.456978168189714928e+00
5.418743957619145704e+02,3.456978168189714928e+00
5.418700909072391596e+02,3.456978168189714928e+00
5.418657870651173880e+02,3.456978168189714928e+00
5.418614842388924444e+02,3.456978168189714928e+00
5.418571824319070629e+02,3.456978168189714928e+00
5.418528816475042049e+02,3.456978168189714928e+00
5.418485818890269456e+02,3.456978168189714928e+00
5.418442831598181328e+02,3.456978168189714928e+00
5.418399854632206143e+02,3.456978168189714928e+00
5.418356888025774651e+02,3.456978168189714928e+00
5.418313931812316468e+02,3.456978168189714928e+00
5.418270986025260072e+02,3.456978168189714928e+00
5.418228050698035076e+02,3.456978168189714928e+00
5.418185125864069960e+02,3.456978168189714928e+00
5.418142211556796610e+02,3.456978168189714928e+00
5.418099307809642369e+02,3.456978168189714928e+00
5.418056414656037987e+02,3.456978168189714928e+00
5.418013532129411942e+02,3.456978168189714928e+00
5.417970660263192713e+02,3.456978168189714928e+00
5.417927799090812186e+02,3.456978168189714928e+00
5.417884948645697705e+02,3.456978168189714928e+00
5.417842108961280019e+02,3.456978168189714928e+00
5.417799280070987606e+02,3.456978168189714928e+00
5.417756462008250082e+02,3.456978168189714928e+00
5.417713654806497061e+02,3.456978168189714928e+00
5.417670858499158157e+02,3.456978168189714928e+00
5.417628073119661849e+02,3.456978168189714928e+00
5.417585298701438887e+02,3.456978168189714928e+00
5.417542535277917750e+02,3.456978168189714928e+00
5.417499782882528052e+02,3.456978168189714928e+00
5.417457041548699408e+02,3.456978168189714928e+00
5.417414311309860295e+02,3.456978168189714928e+00
5.417371592199441466e+02,3.456978168189714928e+00
5.417328884250871397e+02,3.456978168189714928e+00
5.417286187497580840e+02,3.456978168189714928e+00
5.417243501972997137e+02,3.456978168189714928e+00
5.417200827710551039e+02,3.456978168189714928e+00
5.417158164743672160e+02,3.456978168189714928e+00
5.417115513105788978e+02,3.456978168189714928e+00
5.417072872830331107e+02,3.456978168189714928e+00
5.417030243950728163e+02,3.456978168189714928e+00
5.416987626500409760e+02,3.456978168189714928e+00
5.416945020512805513e+02,3.456978168189714928e+00
5.416902426021343899e+02,3.456978168189714928e+00
5.416859843059455670e+02,3.456978168189714928e+00
5.416817271660568167e+02,3.456978168189714928e+00
5.416774711858113278e+02,3.456978168189714928e+00
5.416732163685518344e+02,3.456978168189714928e+00
5.416689627176214117e+02,3.456978168189714928e+00
5.416647102363629074e+02,3.456978168189714928e+00
5.416604589281193967e+02,3.456978168189714928e+00
5.416562087962336136e+02,3.456978168189714928e+00
5.416519598440487471e+02,3.456978168189714928e+00
5.416477120749075311e+02,3.456978168189714928e+00
5.416434654921529273e+02,3.456978168189714928e+00
5.416392200991280106e+02,3.456978168189714928e+00
5.416349758991756289e+02,3.456978168189714928e+00
5.416307328956387437e+02,3.456978168189714928e+00
5.416264910918603164e+02,3.456978168189714928e+00
5.416222504911831948e+02,3.456978168189714928e+00
5.416180110969504540e+02,3.456978168189714928e+00
5.416137729125049418e+02,3.456978168189714928e+00
5.416095359411895060e+02,3.456978168189714928e+00
5.416053001863473355e+02,3.456978168189714928e+00
5.416010656513212780e+02,3.456978168189714928e+00
5.415968323394541812e+02,3.456978168189714928e+00
5.415926002540890067e+02,3.456978168189714928e+00
5.415883693985687160e+02,3.456978168189714928e+00
5.415841397762363840e+02,3.456978168189714928e+00
5.415799113904347450e+02,3.456978168189714928e+00
5.415756842445067605e+02,3.456978168189714928e+00
5.415714583417955055e+02,3.456978168189714928e+00
5.415672336856439415e+02,3.456978168189714928e+00
5.415630102793948026e+02,3.456978168189714928e+00
5.415587881263911640e+02,3.456978168189714928e+00
5.415545672299759872e+02,3.456978168189714928e+00
5.415503475934921198e+02,3.456978168189714928e+00
5.415461292202826371e+02,3.456978168189714928e+00
5.415419121136903868e+02,3.456978168189714928e+00
5.415376962770583305e+02,3.456978168189714928e+00
5.415334817137293157e+02,3.456978168189714928e+00
5.415292684270464179e+02,3.456978168189714928e+00
5.415250564203525983e+02,3.456978168189714928e+00
5.415208456969907047e+02,3.456978168189714928e+00
5.415166362603036987e+02,3.456978168189714928e+00
5.415124281136344280e+02,3.456978168189714928e+00
5.415082212603260814e+02,3.456978168189714928e+00
5.415040157037213930e+02,3.456978168189714928e+00
5.414998114471633244e+02,3.456978168189714928e+00
5.414956084939948369e+02,3.456978168189714928e+00
5.414914068475588920e+02,3.456978168189714928e+00
5.414872065111985648e+02,3.456978168189714928e+00
5.414830074882564759e+02,3.456978168189714928e+00
5.414788097820758139e+02,3.456978168189714928e+00
5.414746133959995404e+02,3.456978168189714928e+00
5.414704183333703895e+02,3.456978168189714928e+00
5.414662245975314363e+02,3.456978168189714928e+00
5.414620321918256423e+02,3.456978168189714928e+00
5.414578411195959688e+02,3.456978168189714928e+00
5.414536513841851502e+02,3.456978168189714928e+00
5.414494629889363750e+02,3.456978168189714928e+00
5.414452759371924913e+02,3.456978168189714928e+00
5.414410902322964603e+02,3.456978168189714928e+00
5.414369058775911299e+02,3.456978168189714928e+00
5.414327228764195752e+02,3.456978168189714928e+00
5.414285412321246440e+02,3.456978168189714928e+00
5.414243609480492978e+02,3.456978168189714928e+00
5.414201820275364980e+02,3.456978168189714928e+00
5.414160044739290925e+02,3.456978168189714928e+00
5.414118282905701562e+02,3.456978168189714928e+00
5.414076534808026508e+02,3.456978168189714928e+00
5.414034800479693104e+02,3.456978168189714928e+00
5.413993079954133236e+02,3.456978168189714928e+00
5.413951373264774247e+02,3.456978168189714928e+00
5.413909680445046888e+02,3.456978168189714928e+00
5.413868001528379637e+02,3.456978168189714928e+00
5.413826336548203244e+02,3.456978168189714928e+00
5.413784685537946189e+02,3.456978168189714928e+00
5.413743048531036948e+02,3.456978168189714928e+00
5.413701425560906273e+02,3.456978168189714928e+00
5.413659816660983779e+02,3.456978168189714928e+00
5.413618221864697944e+02,3.456978168189714928e+00
5.413576641205478381e+02,3.456978168189714928e+00
5.413535074716755844e+02,3.456978168189714928e+00
5.413493522431957672e+02,3.456978168189714928e+00
5.413451984384513480e+02,3.456978168189714928e+00
5.413410460607854020e+02,3.456978168189714928e+00
5.413368951135408906e+02,3.456978168189714928e+00
5.413327456000605480e+02,3.456978168189714928e+00
5.413285975236874492e+02,3.456978168189714928e+00
5.413244508877645558e+02,3.456978168189714928e+00
5.413203056956348291e+02,3.456978168189714928e+00
5.413161619506410034e+02,3.456978168189714928e+00
5.413120196561262674e+02,3.456978168189714928e+00
5.413078788154334688e+02,3.456978168189714928e+00
5.413037394319055693e+02,3.456978168189714928e+00
5.412996015088855302e+02,3.456978168189714928e+00
5.412954650497160856e+02,3.456978168189714928e+00
5.412913300577404243e+02,3.456978168189714928e+00
5.412871965363015079e+02,3.456978168189714928e+00
5.412830644887420704e+02,3.456978168189714928e+00
5.412789339184050732e+02,3.456978168189714928e+00
5.412748048286337053e+02,3.456978168189714928e+00
5.412706772227705869e+02,3.456978168189714928e+00
5.412665511041589070e+02,3.456978168189714928e+00
5.412624264761415134e+02,3.456978168189714928e+00
5.412583033420612537e+02,3.456978168189714928e+00
5.412541817052613169e+02,3.456978168189714928e+00
